Taxa de desemprego - ensino superior incompleto ou equivalente (IBGE/Pnad Contínua)
Sigla,Código,Região,2012 T1,2012 T2,2012 T3,2012 T4,2013 T1,2013 T2,2013 T3,2013 T4,2014 T1,2014 T2,2014 T3,2014 T4,2015 T1,2015 T2,2015 T3,2015 T4,2016 T1,2016 T2,2016 T3,2016 T4,2017 T1,2017 T2,2017 T3,2017 T4,2018 T1,2018 T2,2018 T3,2018 T4,2019 T1,2019 T2,2019 T3,2019 T4,2020 T1,2022 T2,2022 T3,2022 T4,2023 T1,2023 T2,2023 T3,2023 T4,2024 T1,2024 T2,2024 T3,2024 T4,
CO,5,Região Centro-oeste,7.4,6.9,6.4,8,9.1,8,7.3,5.2,6.4,6.5,6.4,6.3,9.4,10.1,10.7,8.5,11.9,9.1,13,13,14.5,12.1,12.1,10.5,13,10.9,11.5,9.1,11.7,11.9,11.2,11.7,13.3,7.3,6.9,7.1,9.7,7.8,6.3,6.6,8.6,7,6.7,6,
N,1,Região Norte,10.3,8.7,8.4,9,11.3,10.2,9.8,6.9,9.3,9.3,8.3,9,10.7,12.7,12.3,13.2,15.9,16.6,18.3,18.5,17.7,14.3,15,13.4,18.2,17.6,16.3,17.5,18.8,17.7,15,13.3,15.8,12.5,11,12.3,12.1,11.9,9.9,8.7,10.2,8.3,8.3,7.8,
NE,2,Região Nordeste,10.5,9.9,9.4,10.1,12.5,10.9,9,8.3,11.8,10,9.7,9.2,11.1,11.1,11.4,13.1,16.1,15,15.1,16.1,19.1,16.4,15.7,14.7,17.4,16.9,17.2,16.2,16.6,17.2,14.3,15.7,18.2,13.6,11.6,11.3,12.9,10.1,12.2,10.9,11.1,8.8,10.7,8.8,
S,4,Região Sul,6.3,4.9,4.5,4.1,5,4.6,5.7,4.4,4.8,4.9,5.3,4,6.2,5.6,5.7,7,9,9.7,9,8.7,9.9,8.5,8,7.5,8.8,8.2,7.3,6.9,9.4,7.9,8.8,6.8,9,5.9,4.8,4.8,5.1,4.6,5.1,4.7,6.3,5,4.3,3.9,
SE,3,Região Sudeste,7.8,8.4,7.5,6.8,7.9,7.3,7.9,6.9,7.1,8,7.5,6.7,8.9,10,10.8,10.7,13.4,13.7,15.6,13.5,16.7,15.3,14.4,13.4,16,15.4,13.3,12.9,14.2,14.6,14,13.1,13.4,10,9.8,8.3,8.6,8.6,8.1,7.3,9,6.9,6.8,6.7,
