Taxa de desemprego - ensino médio completo ou equivalente (IBGE/Pnad Contínua)
Sigla,Código,Região,2012 T1,2012 T2,2012 T3,2012 T4,2013 T1,2013 T2,2013 T3,2013 T4,2014 T1,2014 T2,2014 T3,2014 T4,2015 T1,2015 T2,2015 T3,2015 T4,2016 T1,2016 T2,2016 T3,2016 T4,2017 T1,2017 T2,2017 T3,2017 T4,2018 T1,2018 T2,2018 T3,2018 T4,2019 T1,2019 T2,2019 T3,2019 T4,2020 T1,2022 T2,2022 T3,2022 T4,2023 T1,2023 T2,2023 T3,2023 T4,2024 T1,2024 T2,2024 T3,2024 T4,
CO,5,Região Centro-oeste,8,6.8,6.3,6.1,6.9,6.1,5.7,5.2,6.3,5.9,5.8,5.2,7.5,8,7.2,7.6,11.3,10.3,10.2,10.8,12.6,10.2,9.7,9.6,10.9,10.2,9,8.8,11.8,11.4,10.5,9.7,11.3,7.4,6.7,6.3,6.8,6.4,5.9,5.9,6.4,5,4.7,5,
N,1,Região Norte,11.6,10.8,10.7,9.9,11.8,10.7,9.6,8.3,10.1,9.4,8.8,8.9,11,10.9,11.4,11.3,12.9,14.5,13.8,15.3,17.9,15.9,14.9,14.2,15.6,15,13.6,14.3,16.6,14.5,14.4,13.4,14.8,10.9,10.2,9.6,11.4,10.2,9.4,8.6,10,8.1,7.7,8.1,
NE,2,Região Nordeste,12.5,12.4,11.2,11,13.4,12.1,11,9.6,11.7,10.6,10.4,9.8,12,12.6,13,12.7,15.4,15.7,16.1,16.1,18.6,18,17,15.4,18.2,17.3,16.1,15.7,17.6,16.6,15.9,15.1,17.9,14.8,13.3,11.7,14.4,12.9,11.9,11.6,13.2,11.2,9.9,9.7,
S,4,Região Sul,5.1,4.8,4.5,4,5.4,4.8,4.3,3.8,4.7,4.3,4.8,3.6,5.5,6.2,6.2,5.5,7.9,8.3,8.1,7.6,9.2,7.9,7.9,7.4,8.7,8.4,8.3,7,8.4,7.9,7.4,6.5,7.7,5.6,5.2,4.3,5.2,4.8,4.7,4.3,4.5,4.4,3.9,3.2,
SE,3,Região Sudeste,9.3,8.6,8.1,7.5,8.7,8.3,8.3,7.3,7.9,7.9,7.8,7.6,9.4,9.8,10.2,10.5,13,12.9,13.6,13.7,16,15.2,14.6,13.7,15.4,14.4,13.9,13.5,14.9,14,13.3,12.7,14.5,10.5,9.6,8.4,9.4,9.1,8.4,7.7,8.2,7.7,6.9,6.4,
