Taxa de desemprego - ensino superior completo ou equivalente (IBGE/Pnad Contínua)
Sigla,Código,Região,2012 T1,2012 T2,2012 T3,2012 T4,2013 T1,2013 T2,2013 T3,2013 T4,2014 T1,2014 T2,2014 T3,2014 T4,2015 T1,2015 T2,2015 T3,2015 T4,2016 T1,2016 T2,2016 T3,2016 T4,2017 T1,2017 T2,2017 T3,2017 T4,2018 T1,2018 T2,2018 T3,2018 T4,2019 T1,2019 T2,2019 T3,2019 T4,2020 T1,2022 T2,2022 T3,2022 T4,2023 T1,2023 T2,2023 T3,2023 T4,2024 T1,2024 T2,2024 T3,2024 T4,
CO,5,Região Centro-oeste,4.9,4.6,4.4,3.7,4.9,4.3,4,3.7,4,3.7,3.6,3.4,4.6,4.4,4.7,4.6,5.7,6.2,5.2,5.7,7.1,5.5,5.1,5.1,6.2,5.2,5.3,5,6.8,5.2,5.8,5.7,6.3,3.7,3.3,3.8,4.6,3.6,2.7,3.4,3.6,3.5,2.7,2.9,
N,1,Região Norte,4.8,4.9,4.9,4.3,5.2,4.8,4.6,4.3,4.8,4.4,4.4,3.8,5.8,5.2,5.6,5,6.5,6.3,6,6.3,9.6,7.8,7.4,6.8,7.7,7.8,7.5,7.7,9.2,7.9,8,7,8.3,6,5.1,4.3,5.3,4.6,4.4,4.7,4.6,4.8,4.4,4,
NE,2,Região Nordeste,5,4.7,4.5,4.8,6.1,5.4,4.7,4.2,5.4,4.1,4.5,4.9,5.8,4.9,6.1,5.5,6.7,6.5,6.5,7,8.6,7,6.6,6.9,7.8,7,6.7,6.8,7.5,6.9,6.7,7,7.8,6.3,5.8,5.1,5.5,5.2,5.1,4.8,5.3,4.7,4.4,4.3,
S,4,Região Sul,3.3,2.9,2.3,2.3,2.7,2.4,2.6,2.3,2.4,2.3,2.1,2,3,2.5,3,3.1,4,3.9,3.7,3.5,4.5,4.1,3.8,3.7,4.5,3.9,3.6,3.5,4.1,3.7,4,3.3,3.9,2.8,2.2,2.4,2.6,2.4,2.3,2.3,2.6,2.6,2.1,2.2,
SE,3,Região Sudeste,4.2,3.6,3.3,3.2,4.4,4,3.6,3.3,4.2,3.5,3.7,3.4,4.7,4.2,4.9,5.2,6.3,6.5,6.2,6,7.1,6.9,6.3,6.9,6.7,6.8,6.2,6.2,7.2,6.3,5.9,5.7,6.3,4.8,4.2,4,4.6,3.8,3.3,3.5,4.1,3.5,3.1,3.2,
