Taxa de desemprego - ensino fundamental completo ou equivalente (IBGE/Pnad Contínua)
Sigla,Código,Região,2012 T1,2012 T2,2012 T3,2012 T4,2013 T1,2013 T2,2013 T3,2013 T4,2014 T1,2014 T2,2014 T3,2014 T4,2015 T1,2015 T2,2015 T3,2015 T4,2016 T1,2016 T2,2016 T3,2016 T4,2017 T1,2017 T2,2017 T3,2017 T4,2018 T1,2018 T2,2018 T3,2018 T4,2019 T1,2019 T2,2019 T3,2019 T4,2020 T1,2022 T2,2022 T3,2022 T4,2023 T1,2023 T2,2023 T3,2023 T4,2024 T1,2024 T2,2024 T3,2024 T4,
CO,5,Região Centro-oeste,8.7,7.4,6,5.7,7.8,7.1,5.6,6,6.7,7.2,6.7,6.5,8.3,9.4,9.8,8.9,10.4,11,12.3,13.7,12.9,12.7,11.5,11.2,13.9,12.3,10.5,11.6,13,13.8,13.2,12.1,12.5,9.5,7.6,7.5,8.2,7.2,8.2,7.6,7.1,7.5,7.7,7.1,
N,1,Região Norte,8.7,9.2,8.1,7.7,8.7,9.4,8.3,7.4,8.3,8.3,8.1,6.6,10,10.5,8.9,9.6,13.3,12.8,15.1,14.5,15.8,14.4,15.1,12.2,14.3,11.9,13.5,11.8,12.6,13.5,11.7,10.5,13.2,9,10.2,8.3,9.4,8.2,8.4,9.1,8.4,7.7,5.7,7.2,
NE,2,Região Nordeste,10.5,10.6,11,11,10.4,12,9.9,8.7,10.4,10,9,9.2,10.1,11.7,11.2,11.8,13.8,15.9,15.9,16.2,17.7,18.2,17.6,15.5,17.3,16,15.7,17.4,17.2,16.4,17.6,15,18.3,13.3,13.3,13.4,13.4,13.9,13.7,12.3,12.3,11,9.5,9.7,
S,4,Região Sul,6.2,6.1,4.8,4.6,5,4.9,4.6,4.6,5.7,5,4.7,4.6,6.1,6.8,8.1,7.1,8.7,10.6,10.9,9.7,12.1,10.8,10.2,10.4,9.4,10.2,9.9,9.3,9.8,10.5,11,9.5,9.6,6.7,7.6,6,7,6.2,6.2,6.3,6.8,6.6,6.2,4.4,
SE,3,Região Sudeste,8.9,8.2,7.6,7.5,8.7,7.9,8,6.5,7.6,7.6,8.1,7.3,8.4,8.8,10.1,10.3,12.3,13.2,13.5,13.7,16,16.3,16.2,15.1,16.8,15.2,15.2,14.8,15.1,14.7,14.1,13.2,14.3,11.2,10.1,9.2,10.5,9.8,10.2,9.4,9.2,7.8,8.6,7.8,
