Taxa de desemprego - sem instrução ou equivalente (IBGE/Pnad Contínua)
Sigla,Código,Região,2012 T1,2012 T2,2012 T3,2012 T4,2013 T1,2013 T2,2013 T3,2013 T4,2014 T1,2014 T2,2014 T3,2014 T4,2015 T1,2015 T2,2015 T3,2015 T4,2016 T1,2016 T2,2016 T3,2016 T4,2017 T1,2017 T2,2017 T3,2017 T4,2018 T1,2018 T2,2018 T3,2018 T4,2019 T1,2019 T2,2019 T3,2019 T4,2020 T1,2022 T2,2022 T3,2022 T4,2023 T1,2023 T2,2023 T3,2023 T4,2024 T1,2024 T2,2024 T3,2024 T4,
CO,5,Região Centro-oeste,5.7,4,5.3,4.5,5,4.6,4.7,3.9,3.4,4,3.4,3.1,4.3,4.5,5.1,7.1,9.8,8.5,7.8,11.8,10.7,11.6,7.1,8.3,7.6,9.2,9.8,5.9,9.6,7.4,6.8,8.8,10.4,4.5,7.6,4.5,4.3,4.3,1.8,4,4.2,3.7,4.7,5.6,
N,1,Região Norte,3.5,3.4,1.8,2.5,3.2,3.9,2.8,2.6,3.6,2.2,3.3,2,2.4,3,5.1,3,4.2,5.1,6.2,7.1,6.4,5.9,5.7,5.2,7.3,5.9,5.7,6.6,5.2,6.7,6.9,4.3,5.2,5.2,5.9,5.7,5.1,5.3,3.5,4.3,4.1,3.3,3.8,5.2,
NE,2,Região Nordeste,4.6,5.1,5.4,5.9,7.2,5.5,5.1,4.1,4.4,4.4,4.7,4.2,4.6,6.3,6,6,7.8,8.2,8.4,9.2,10.4,11.5,10.5,10.4,11.3,9.1,11,10.7,10.9,10,9.7,10,11.1,9.2,8.7,8,8.4,7.5,7.4,6.7,6.8,6.5,6.3,6.9,
S,4,Região Sul,2.8,5.6,4.1,3.3,4.4,3.1,3.1,3.4,3.5,2.8,3.4,4.2,3.7,5.9,5.1,6.6,4.5,8.6,6.3,11.8,7.8,6.9,6.4,6.8,12.1,6.7,8,7.6,9.8,6.6,8,6.9,5.4,5.1,5.5,2.2,4.5,4.3,4.2,5.8,6.3,6.3,5.7,4.1,
SE,3,Região Sudeste,5.7,4.5,4.4,4.3,5.7,5.7,4.6,4,3.8,3.3,4.7,4.9,4.6,5.3,5.3,7.1,10.9,9.6,8,9.6,10.9,10.1,9.8,9,11.4,13,11.5,11.9,12.4,8.4,8,9.8,10.7,7.4,7.9,8.4,5.8,5.6,7.6,6.5,6.9,5.1,6,5.5,
