Taxa de desemprego - ensino fundamental incompleto ou equivalente (IBGE/Pnad Contínua)
Sigla,Código,Região,2012 T1,2012 T2,2012 T3,2012 T4,2013 T1,2013 T2,2013 T3,2013 T4,2014 T1,2014 T2,2014 T3,2014 T4,2015 T1,2015 T2,2015 T3,2015 T4,2016 T1,2016 T2,2016 T3,2016 T4,2017 T1,2017 T2,2017 T3,2017 T4,2018 T1,2018 T2,2018 T3,2018 T4,2019 T1,2019 T2,2019 T3,2019 T4,2020 T1,2022 T2,2022 T3,2022 T4,2023 T1,2023 T2,2023 T3,2023 T4,2024 T1,2024 T2,2024 T3,2024 T4,
CO,5,Região Centro-oeste,5.9,5.1,4.7,5.3,6,5.2,5,4.4,5.4,4.5,4.8,5,6.9,6.1,7.3,6.8,8.5,9.2,10,11.2,12.6,11.1,10.4,9.7,10.2,9.1,8.3,8,10.1,10,10.3,8.7,10,6.7,6.7,6,7.1,4.8,5.5,6.4,5.7,6,5.2,5.2,
N,1,Região Norte,7.1,5.9,5.7,5.3,5.7,6.1,5.8,4.7,5.9,5.5,5.1,5.2,6.4,6.3,6.3,5.8,7.3,8,8,9.9,10.8,9.2,9.1,8.8,9.8,9.1,9.3,8.4,8.8,8.2,8.7,7.8,8.5,6.1,5.5,6,6.4,6,5.9,6.7,6.3,5,5.4,5.6,
NE,2,Região Nordeste,8.6,8.6,8.6,8.4,9.8,9,8.1,7,7.9,8.1,7.8,7.3,8.2,9.3,10.2,9.5,11.3,12,13.8,14.1,15.3,15.8,14.5,13.7,15.5,14.7,14.2,14.5,14.7,14.4,14.8,13.6,15,11.9,11.9,11.2,11.9,11.7,10.9,10.6,10.2,9.1,7.9,8.6,
S,4,Região Sul,4.5,4.4,4.1,3.7,4.2,3.9,3.5,3.6,3.7,3.7,3.7,3.9,4.5,5.1,5.7,5.8,6.4,7.2,7.5,8,10,9.2,7.8,7.8,8.5,8.4,8.4,8.6,8,8.4,9.6,7.4,8.2,6.2,5.6,5,4.7,4.3,4.4,4.5,4.9,4.7,4.1,4.2,
SE,3,Região Sudeste,6.8,6.5,6,6.1,6.5,6.3,5.6,5.6,6.4,6,6,6.2,6.8,7.5,8.6,9.3,9.9,10.7,11.3,12,12.7,12.5,12.7,12.1,13,12.6,11.4,11.7,12,11.4,11.2,11.1,11.6,9.2,9,9,8.8,7.7,7.6,7.9,7.9,6.7,6.1,6.2,
